name,lat,lon,alt,city,icao,iata
Añatuya Airport,-28.47970009,-62.84579849,354,Añatuya,,
Andacollo Airport,-37.20333481,-70.6966629,3524,Andacollo,,
Anibal Brizi Airport,-31.4042,-60.8992,127,Esperanza,,
Arelauquen Heliport,-41.1612,-71.3659,3099,San Carlos De Bariloche,,
Aries Heliport,-52.6831,-68.0419,,Santa Cruz,,
Arrecifes Aeroclub Airport,-34.0833,-60.0333,141,Arrecifes,,
Arribeños Airport,-34.2228,-61.3858,268,Arribeños,,
Arroyito/Arcor Airport,-31.42219925,-63.00419998,485,Arroyito/Arcor,,
Austral Heliport,-52.8936,-68.3553,127,Rio Cullen,,
Autodromo Ciudad De Bs. As. Heliport,-34.6939,-58.46,16,Buenos Aires,,
Presidente Avellaneda Airport,-29.1061,-59.6569,147,Avellaneda,,
Ayacucho Airport,-37.1639,-58.4719,221,Ayacucho,,
Ayres De Pilar Heliport,-34.4375,-58.7983,45,Pilar,,
Azcarate Irastorza Heliport,-35.1994,-63.6008,416,Intendente Alvear,,
B&B Servicios Agropecuarios Airport,-32.1147,-61.6328,239,Cañada Rosquin,,
B. Churruca Heliport,-34.6407,-58.4094,19,Buenos Aires,,
Baradero Airport,-33.8217,-59.4925,95,Baradero,,
Barrancas Airport,-36.77560043,-69.85939789,3481,Barrancas,,
Basavilbaso Airport,-32.3611,-58.8808,196,Basavilbaso,,
Batan Airport,-38.0117,-57.6775,203,Mar Del Plata,,
Belén De Escobar Airport,-34.2986,-58.7989,13,Belén De Escobar,,
Bellamar Airport,-38.3858,-58.1336,42,Miramar,,
Benavidez Airport,-34.38805389,-58.66388702,13,Benavidez,,
Blondi Airport,-34.61333466,-61.02305603,262,Junin,,
Gran Ancona Airport,-33.4383,-61.3017,318,Bombal,,
Bonetti Airport,-27.60416603,-55.86388779,462,Posadas,,
Pablo Sierra Aeroaplicaciones Airport,-30.9294,-62.0506,328,Brinkman,,
Cabaña San Isidro Labrador Heliport,-34.3783,-58.7883,39,Belén De Escobar,,
Cabañas Airport,-32.9775,-58.5222,23,Gualeguaychu,,
Cabildo Airport,-38.49860001,-61.88439941,521,Cabildo,,
Ituzaingo / Transener S.A. Heliport,-27.5601,-56.6568,233,Ituzaingo,,
Cabo Vírgenes Heliport,-52.3278,-68.4092,180,Cabo Vírgenes,,
Caleufu Airport,-40.39390182,-70.96330261,2323,Caleufu,,
Campo De Vuelo Heliport,-31.3689,-64.2636,1515,Cordoba,,
Canals Airport,-33.5622,-62.8692,387,Canals,,
Cañada De Gomez Airport,-32.8086,-61.365,268,Cañada de Gomez,,
Cañada Rosquin Airport,-32.0994,-61.5839,219,Cañada Rosquin,,
Cañuelas Airport,-35.1119,-58.7261,98,Cañuelas,,
Capitan Sarmiento Airport,-34.1639,-59.7311,160,Capitan Sarmiento,,
Vedia Aeroclub,-34.4817,-61.4903,291,Vedia,,
Carhue Airport,-37.1942,-62.7814,360,Carhue,,
Carlos Casares Airport,-35.6328,-61.3842,275,Carlos Casares,,
Las Ensenadas Airport,-31.45529938,-64.52639771,2394,Carlos Paz,,
Carlos Tejedor Airport,-35.4256,-62.4697,308,Carlos Tejedor,,
Carmen De Areco Airport,-34.4175,-59.8719,160,Carmen de Areco,,
Casa De Gobierno Heliport,-31.4306,-64.1842,1420,Cordoba,,
Casilda Airport,-33.0617,-61.21,252,Casilda,,
Castelli Airport,-36.11000061,-57.86194611,33,Castelli,,
Castelli Airport,-25.93083382,-60.62805557,364,Chaco,,
Centinela Heliport,-34.5822,-58.3744,42,Buenos Aires,,
Central Nuclear Heliport,-32.2294,-64.44,1738,Embalse Rio Tercero,,
Centro Cívico Grand Bourg Heliport,-24.7806,-65.4514,4132,Salta,,
Cereales Anahi Ruca Airport,-35.67361069,-63.71805573,455,General Pico,,
Cerro Chapelco Heliport,-40.1981,-71.3211,4281,San Martín De Los Andes,,
Chacabuco Airport,-34.6069,-60.4097,226,Chacabuco,,
Chacharramendi Airport,-37.34059906,-65.646698,951,Chacharramendi,,
Chajari Airport,-30.7542,-58,173,Chajari,,
Chañar Ladeado Airport,-33.3333,-62.0333,367,Chañar Ladeado,,
Chascomus Airport,-35.5428,-58.0519,32,Chascomus,,
Chivilcoy Airport,-34.9639,-60.0333,173,Chivilcoy,,
Cholila Airport,-42.48472214,-71.46055603,1883,Cholila,,
Cinco Saltos Airport,-38.80166626,-68.03722382,1171,Cinco Saltoses,,
Citefa Heliport,-34.5575,-58.5056,55,Villa Martelli,,
Ciudad Universitaria Heliport,-31.4406,-64.1894,1443,Cordoba,,
Club Nautico San Isidro Heliport,-34.4614,-58.5003,6,San Isidro,,
Colon Airport,-33.9231,-61.0461,295,Colon,,
Colon Airport,-32.2614,-58.1556,65,Colon,,
Complejo Llao Llao Heliport,-41.0544,-71.5339,2542,San Carlos De Bariloche,,
Concepcion Del Uruguay Airport,-32.4519,-58.3058,121,Concepcion Del Uruguay,,
Concordia Aeroclub Airport,-31.3042,-58.0153,131,Concordia,,
Confluencia Airport,-36.77140045,-69.53859711,4964,Confluencia,,
Coronel Dorrego Airport,-38.7411,-61.2561,393,Coronel Dorrego,,
Coronel Pringles Airport,-38.00666809,-61.33194351,810,Coronel Pringles,SABP,
Coronel Vidal Airport,-37.4689,-57.7669,85,Coronel Vidal,,
Corral De Bustos Airport,-33.2811,-62.1514,393,Corral de Bustos,,
Santa María Airport,-31.28610039,-64.45529938,2296,Cosquin,,
Cruz Alta Airport,-33.0078,-61.8369,318,Cruz Alta,,
Curuzu Cuatia Aeroclub Airport,-29.7789,-58.0958,262,Curuzu Cuatia,,
D.P.A.O. Heliport,-34.9597,-57.8928,62,La Plata,,
Daireaux Airport,-36.5914,-61.7753,380,Daireaux,,
Darregueira Airport,-37.71279907,-63.16189957,649,Darregueira,,
Darsena Sur Heliport,-34.6278,-58.3515,16,Buenos Aires,,
Dean Funes Airport,-30.37919998,-64.37969971,2259,Dean Funes,,
Diamante Airport,-32.0161,-60.5825,246,Diamante,,
Dines ( Dr. E. Escudero) Heliport,-34.5726,-58.4005,19,Buenos Aires,,
Agrocelta Servicios Aereos Airport,-33.8867,-60.8628,269,Mariano H. Alfonzo,,
Doctora Saavedra Airport,-37.74969864,-62.4007988,1040,Doctora Saavedra,,
Ecodyma S.C.A. Heliport,-34.9408,-57.9919,45,La Plata,,
Eduardo Castex Airport,-35.8805542,-64.27388763,600,Eduardo Castex,,
El Alamito Airport,-37.27361298,-70.38972473,3576,El Alamito,,
Establecimiento El Araza Airport,-36.7756,-57.6414,305,Maipu,,
El Capricho Heliport,-34.2325,-59.3158,98,Chenaut,,
El Corcovado Airport,-43.53359985,-71.48470306,1968,El Corcovado - Esquel,,
El Gaucho Airport,-32.6294,-61.5444,344,Las Parejas,,
El Manantial Airport,-35.1943,-58.3594,49,Coronel Brandsen,,
El Pajaro Airport,-34.8237,-58.3169,52,Florencio Varela,,
El Pampero Airport,-36.59280014,-64.18669891,583,Santa Rosa,,
El Trebol Airport,-32.2153,-61.7161,301,El Trebol,SAFT,
Elizalde Airport,-34.9747,-57.9614,22,La Plata,,
Esperanza Airport,-31.4736,-60.8447,124,Esperanza,,
Esquina Airport,-30.0489,-59.5353,127,Esquina,,
Estancia Don Roberto Airport,-34.00139999,-65.36689758,1430,Villa Mercedes,,
Estancia Haychol Heliport,-38.6481,-70.6775,3447,Las Lajas,,
Estancia La Candelaria Heliport,-40.0442,-71.3664,2997,San Martin De Los Andes,,
Estancia La Chacota Heliport,-35.9133,-62.6417,295,Trenque Lauquen,,
Estancia La Choza Airport,-30.5389,-58.2928,236,Chajari,,
Estancia La Laurita Airport,-44.7761116,-70.19638824,1834,Alto Rio Senguerr,,
Estancia Llamuco Airport,-38.79944611,-70.4347229,3924,Llamuco,,
Estancia Los Cardos Airport,-37.7356,-58.0342,393,Balcarce,,
Estancia Nueva Lubecka Airport,-44.44194412,-70.4422226,2021,Jose de San Martin,,
Estancia Palitue Heliport,-39.8528,-71.0464,2817,Junin De Los Andes,,
Estancia San Juan Airport,-29.6028,-58.0281,268,Curuzu Cuatia,,
Estancia San Ramón Heliport,-50.3064,-69.9264,1226,Santa Cruz,,
Estancia Santa Ana Heliport,-51.6839,-71.9689,665,El Turbio,,
Estancia Santa Isabel Heliport,-39.8847,-70.5136,3116,Catan Lil,,
Estindher Airport,-33.0931015,-64.42919922,1531,Rio Cuarto,,
Ezpeleta Airport,-34.7464,-58.2033,9,Ezpeleta,,
Finca Las Costas Heliport,-24.7703,-65.4956,4300,Salta,,
Firmat Aeroclub Airport,-33.4289,-61.5108,344,Firmat,,
Formosa Aeroclub Airport,-26.3014,-58.2983,229,Formosa,,
Fortín De Gainza Airport,-34.5494,-63.1225,426,Santa Regina,,
Fuerza Aérea(Edificio Cóndor) Heliport,-34.5858,-58.3681,19,Buenos Aires,,
Fumigaciones Stadler Airport,-32.5786,-60.9119,121,Serodino,,
Galvez Airport,-32.0322,-61.1758,173,Galvez,,
General Alvear Aeroclub Airport,-34.97309875,-67.72360229,1528,General Alvear,,
General Belgrano Airport,-35.7519,-58.4633,39,General Belgrano,,
General Deheza Airport,-32.74530029,-63.79579926,898,General Deheza,,
General La Madrid Airport,-37.22719955,-61.27920151,560,General La Madrid,,
General Las Heras Airport,-34.9206,-58.9164,114,General Las Heras,,
General Levalle Airport,-34.00388718,-63.93083191,614,General Levalle,,
General Madariaga Airport,-37.0392,-57.1372,22,General Madariaga,,
General Pìnedo Airport,-27.3394,-61.2744,298,General Pìnedo,,
General Pinto Airport,-34.7861,-61.9142,318,General Pinto,,
General Rodriguez Airport,-34.4978,-59.0372,98,General Rodriguez,,
Los Toldos Airport,-34.9744,-61.0206,236,General Viamonte,,
Gobernador Crespo Aeroclub Airport,-30.3878,-60.3656,170,Gobernador Crespo,,
Gobernador Santillán Airport,-27.90139961,-64.24970245,689,Santiago Del Estero,,
Gomez Airport,-35.0956,-58.0853,62,Gomez,,
Gonzalez Chaves Airport,-38.02939987,-60.13610077,636,Gonzalez Chaves,,
Goya Aeroclub,-29.1678,-59.2464,124,Goya,,
Guadalupe Airport,-31.5828,-60.6672,59,Santa Fe,,
Gualeguay Airport,-33.10361099,-59.37472153,39,Gualeguay,,
Agro Aereo Gualeguay Airport,-33.0386,-59.4383,52,Gualeguay,,
Helicenter Heliport,-34.4975,-58.6069,113,Don Torcuato,,
Heliplataforma Am I Heliport,-52.5192,-68.3858,98,Santa Cruz,,
Heliplataforma Carina Heliport,-52.7572,-67.2194,30,Santa Cruz,,
Heliplataforma/Am-2 Heliport,-52.5489,-68.3125,134,Santa Cruz,,
Heliplataforma/Am3 Heliport,-52.5228,-68.2808,134,Santa Cruz,,
Heliplataforma/Am5 Heliport,-52.5706,-68.2533,98,Santa Cruz,,
Heliplataforma/Rio Cullen-Hidra Norte Heliport,-52.8206,-68.2192,65,Santa Cruz,,
Heliwest Heliport,-34.6336,-58.7511,71,Moreno,,
Henderson Airport,-36.31470108,-61.74779892,492,Henderson,,
Hospital De Milagro Heliport,-24.7731,-65.4156,4068,Salta,,
Hospital Materno Infantil San Roque Heliport,-31.73,-60.5217,265,Paraná,,
Hospital Municipal Heliport,-34.4489,-59.4494,154,San Andres De Giles,,
Hospital Nac. De Pediatría J. Garraham Heliport,-34.6308,-58.3936,127,Buenos Aires,,
Huanguelen Airport,-37.03305435,-61.93416595,518,Huanguelen,,
Huinca Renanco Airport,-34.82030106,-64.37310028,590,Huinca Renanco,,
Ingeniero Luiggi Airport,-35.35499954,-64.47583008,633,Ingeniero Luiggi,,
Agroservicio Doña Teresa Airport,-28.8494,-62.2625,246,Bandera,,
Ingeniero Williams Airport,-34.90916824,-59.3488884,121,Ingeniero Williams,,
Intendente Alvear Airport,-35.2592,-63.5328,416,Intendente Alvear,,
Intendente Alvear Heliport,-35.2494,-63.5342,416,Intendente Alvear,,
Fumigaciones Herbinsec Airport,-35.138611,-62.705278,366,Roberts,,
Isla Santa Mónica Heliport,-34.4147,-58.5072,14,Tigre,,
Don Hector Biondi Airport,-33.2464,-62.4167,387,Isla Verde,,
Italaviation Airport,-29.1608,-59.1814,209,Goya,,
Jacinto Arauz Airport,-38.06610107,-63.42829895,524,Jacinto Arauz,,
Jardin De América Airport,-27.03249931,-55.19805527,672,Jardin de América,,
Jesús Maria Airport,-30.98810005,-64.07689667,1738,Jesús Maria,,
Agropecuaria Rio Juramento Airport,-25.18670082,-64.08280182,1184,Joaquin V. Gonzalez,,
Tres Lomas Airport,-36.4439,-62.8792,380,Jose Maria Blanco,,
Juan Carlos Bagur Airport,-32.4186,-59.8158,190,Nogoya,,
Juan Y Luci Heliport,-32.6922,-64.7206,2404,Alpa Corral,,
Juarez Celman Airport,-31.21138954,-64.16139221,1680,Juarez Celman,,
La Angelita Airport,-30.8522,-58.7067,229,Federal,,
Trenque Lauquen Airport,-36.0158,-62.6939,324,Trenque Lauquen,SAET,
La Caida Airport,-34.8625,-58.3447,91,Longchamps,,
La Caldera Heliport,-36.6669,-56.6789,32,Costa Azul,,
La Carolina Heliport,-31.3525,-64.2828,1485,La Carolina,,
La Consulta Airport,-33.73083496,-69.17388916,3520,La Consulta,,
La Fantasia Airport,-34.72859955,-59.1094017,111,Lujan,,
La Laja Airport,-31.35138893,-68.47305298,2132,La Laja,,
Quebracho Herrado Airport,-34.1553,-59.8739,170,Capitán Sarmiento,,
La Madrugada Heliport,-34.2382,-59.1915,85,Capilla Del Señor,,
La Mezquita Airport,-31.40080071,-64.3003006,1672,Cordoba/La Mezquita,,
La Milagrosa Heliport,-32.4828,-58.2506,49,Concepcion Del Uruguay,,
La Nueva Airport,-34.9464,-61.3042,246,Lincoln,,
La Paz Aeroclub Airport,-30.7442,-59.5683,200,La Paz,,
La Pelada Airport,-30.9556,-60.8858,144,La Pelada,,
La Siesta Airport,-33.6939,-62.0625,367,Venado Tuerto,,
La Superba Heliport,-34.5008,-59.015,32,Open Door,,
Laborde Airport,-33.1567,-62.8906,400,Laborde,,
Lago Buenos Aires Airport,-46.57640076,-70.94860077,1312,Lago Buenos Aires,,
Lago Escondido Heliport,-41.7033,-71.6075,2722,Lago Escondido,,
Lago La Esperanza Airport,-42.21749878,-71.80500031,1836,Esquel,,
Lago Nahuel Huapi Airport,-41.09719849,-71.17780304,2558,Nahuel Huapi,,
Laguna Aeroclub Airport,-34.40888977,-59.45833206,148,San Andres de Giles,,
Laguna De Gomez Airport,-34.6539,-61.01,262,Laguna de Gomez,,
Laprida Airport,-37.51890183,-60.77690125,705,Laprida,SAEK,
Las Araucarias Heliport,-34.3067,-59.1703,82,Capilla Del Señor,,
Las Chacritas Heliport,-34.405,-58.8631,64,Villa Rosa,,
Las Cortaderas Airport,-38.3547,-58.1089,52,Miramar,,
Las Marias Airport,-28.1,-56.05,410,Gdor. Valentin Virasoro,,
Las Ovejas Airport,-36.99969864,-70.74189758,3936,Las Ovejas,,
Las Rosas Airport,-32.4922,-61.5806,334,Las Rosas,,
Las Varillas Airport,-31.8914,-62.7047,442,Las Varillas,,
Lanzillota Airport,-32.72140121,-68.63420105,1869,Ciudad de Lavalle,,
Legat S.A. Heliport,-34.3168,-58.8166,16,Belén De Escobar,,
Leones Airport,-32.6368,-62.3148,373,Leones,,
Luján Airport,-34.5514,-59.0783,82,Lujan,,
Lincoln Airport,-34.8911,-61.5306,285,Lincoln,,
Lipton Airport,-34.53888702,-59.58527756,167,Espora,,
Loberia Airport,-38.1906,-58.7864,265,Loberia,,
Nika Airport,-38.1478,-58.7542,262,Lobería,,
Lobos Airport,-35.2108,-59.1367,95,Lobos,,
Los Cardos Airport,-32.2719,-61.6622,341,Los Cardos,,
Los Fresnos Heliport,-34.2806,-59.12,111,Capilla Del Señor,,
Los Perales Airport,-46.19079971,-69.28029633,1397,Las Heras,,
Los Tucanes Airport,-27.03583336,-65.15666962,1194,Tucuman,,
Macachin Airport,-37.11109924,-63.54999924,459,Macachin,,
Madero Heliport,-34.6217,-58.3447,16,Buenos Aires,,
Maipu Airport,-36.8903,-57.8503,52,Maipu,,
Manuel Afonso Heliport,-34.815,-58.1953,36,Hudson,,
Marcos Paz Airport,-34.7975,-58.8969,91,Marcos Paz,,
Martín Fierro Airport,-33.94029999,-64.36969757,754,Vicuña Mackena,,
Match Point Heliport,-34.5161,-59.1339,82,Lujan,,
Meliquina Airport,-40.33530045,-71.33920288,3061,Meliquina,,
Memorial Heliport,-34.4433,-58.8381,62,Pilar,,
Mercedes Airport,-34.6397,-59.4556,137,Mercedes,,
Azcarate Irastorza Airport,-35.1994,-63.6008,416,Intendente Alvear,,
Metán Airport,-25.51440048,-64.96559906,2765,Metan,SASM,
Mina Clavero Airport,-31.73310089,-64.98560333,3181,Mina Clavero,,
Miraflores Country Club Heliport,-34.4461,-58.7342,68,Garin,,
Monte Maiz Airport,-33.2103,-62.6297,370,Monte Maiz,,
Montecarlo Airport,-26.54389954,-54.72389984,787,Montecarlo,,
Moromar Airport,-38.4164,-58.3839,49,Quequen,,
Morrison Heliport,-32,-62,465,Morrison,,
Morteros Airport,-30.6778,-62.0267,308,Morteros,,
Navarro Airport,-35.0236,-59.2858,98,Navarro,,
Nogoya Airport,-32.4025,-59.7461,137,Nogoya,,
Norberto Cordeiro Heliport,-31.4142,-64.4969,2036,Villa Carlos Paz,,
Oficial Subinspector Gustavo Soarez De Souza Heliport,-34.7236,-58.515,141,La Matanza,,
Oliva Airport,-32.06079865,-63.5469017,879,Oliva,,
Oreste Berta Heliport,-31.6269,-64.3922,1869,Alta Gracia,,
P.N.A. Of. Ppal. Ballestra Heliport,-34.5772,-58.3838,19,Buenos Aires,,
Palitue Airport,-39.81638718,-71.02944183,2562,Chapelco,,
Parana Aeroclub Airport,-31.7578,-60.3733,196,Parana,,
Parana Club De Planeadores Airport,-31.7314,-60.22,151,Parana,,
Parque Hermoso Airport,-38.0287,-57.6393,196,Mar Del Plata,,
Pedro Luro Airport,-39.4561,-62.6747,88,Pedro Luro,,
Pellegrini Airport,-36.2828,-63.1342,370,Pellegrini,,
Pepone Aeroclub Airport,-34.42694473,-59.48027802,164,San Andres de Giles,,
Pilcaniyeu Airport,-41.12666702,-70.71389008,3192,Pilcaniyeu,,
Pinamar Airport,-37.0911,-56.9783,9,Pinamar,,
Planta Cruz Del Sur Heliport,-53.3228,-68.2658,173,Bahía San Sebastián,,
Poblet Airport,-35.0881,-57.9492,65,Poblet,,
Policía Provincia De Córdoba Heliport,-31.3994,-64.1833,1293,Cordoba,,
Policlinico San Martin Heliport,-34.9167,-57.9167,68,La Plata,,
Polisur S.A. Heliport,-38.7742,-62.2939,16,Bahía Blanca,,
Posadas Aeroclub Airport,-27.41749954,-55.93972397,443,Posadas,,
Presidencia De La Nación Heliport,-34.6064,-58.3683,26,Buenos Aires,,
Puán Airport,-37.53939819,-62.73419952,787,Puán,,
Pueblo Esther Airport,-33.0817,-60.5647,82,Rosario,,
Terminal 6 Airport,-32.6417,-60.7539,85,Puerto San Martín,,
Pulmari Airport,-39.10055542,-70.99888611,3245,Pulmari,,
Punta Alta Airport,-38.8342,-62.0869,9,Punta Alta,,
Raies Heliport,-31.3461,-64.2081,1459,Cordoba,,
Rancho De Montaña Heliport,-40.1525,-71.2856,3297,San Martín De Los Andes,,
La Igualdad Airport,-35.5133,-58.3531,59,Ranchos,,
Rawson Airport,-43.2944,-65.0644,36,Rawson,,
Realicó Airport,-35.05920029,-64.21109772,541,Realicó,,
Nueva Valencia Airport,-27.5864,-58.8203,186,Riachuelo,,
Don Jose Airport,-32.8275,-60.7817,82,Ricardone,,
Rio Chico Airport,-51.6686,-69.2603,68,Rio Gallegos,,
Estancia Rio Ewan Heliport,-54.2333,-67.22,110,Río Grande,,
Rivadavia Airport,-33.22722244,-68.47416687,2162,Rivadavia,,
Rojas Airport,-34.215,-60.6725,19,Rojas,,
Rosario De La Frontera Airport,-25.82805634,-64.96805573,2746,Rosario de La Frontera,,
Rosario Del Tala Airport,-32.3289,-59.1906,177,Rosario Del Tala,,
Rufino Airport,-34.2831,-62.6719,387,Rufino,,
Salliqueló Airport,-36.75640106,-62.94440079,475,Salliqueló,,
Salto Airport,-34.3069,-60.2858,193,Salto,,
San Benito Airport,-31.8086,-60.4517,193,San Benito,,
San Cayetano Heliport,-38.33388901,-59.63027954,328,San Cayetano,,
San Cristobal Airport,-30.2642,-61.2203,242,San Cristobal,,
San Francisco Airport,-31.4142,-62.1336,374,San Francisco,,
San Isidro Labrador Heliport,-35.0814,-63.0822,377,General Villegas,,
San Joaquín Heliport,-34.3344,-59.7139,137,Carmen De Areco,,
San Jorge Airport,-31.8836,-61.8442,347,San Jorge,,
San Justo Airport,-30.7642,-60.5653,180,San Justo,,
San Martin Airport,-33.0625,-68.50830078,2154,San Martin,SAMI,
Bahía Agradable Airport,-35.4594,-58.7636,78,San Miguel Del Monte,,
Bahía Dorada Airport,-41.8428,-65.0822,118,Sierra Grande,,
San Vicente Airport,-26.95330048,-54.4878006,1804,Fabiano,,
Sanatorio Guemes Heliport,-34.597,-58.4219,268,Buenos Aires,,
Santo Tome Airport,-28.52722168,-56.10944366,223,Santo Tome,,
Sarthou S.A. Heliport,-34.3642,-58.5497,15,San Fernando,,
Saturnino Unzue Heliport,-35.4244,-60.1561,164,Mar del Plata,,
Scaro Airport,-24.44805527,-65.17583466,3228,Monterrico,,
Villa de María de Río Seco Airport,-29.9,-63.683,,Villa de María de Río Seco,SACV,
Sol De Agosto Heliport,-34.5331,-58.9714,32,Lujan,,
Stroeder Airport,-40.2106,-62.6175,91,Stroeder,,
Suboficial Auxiliar Miguel A. Cardone Airport,-33.9617,-61.6325,337,Villa Cañas,,
Sunchales Aeroclub Airport,-30.9575,-61.5283,311,Sunchales,SAFS,NCJ
Swiss Medical Heliport,-34.5808,-58.4294,193,Buenos Aires,,
Talitas Heliport,-32.5481,-58.2406,26,Concepcion Del Uruguay,,
Estancia Tecka Airport,-43.61222076,-71.02194214,2361,Chubut,,
Tecnocopter S.A. Heliport,-34.4922,-58.6061,65,Don Torcuato,,
Terminal Y.P.F. Heliport,-34.7322,-58.5589,32,La Matanza,,
Tilisarao Airport,-32.75,-65.28220367,2463,Tilisarao,,
Timen S.A. Heliport,-34.4964,-58.6078,19,Don Torcuato,,
Tolosa Airport,-34.8747,-57.9608,18,La Plata,,
Tornquist Airport,-38.09560013,-62.25030136,934,Tornquist,,
Tostado Airport,-29.2358,-61.7886,226,Tostado,,
Transener S.A. Heliport,-34.175,-58.9983,32,Campana,,
Transener S.A. Heliport,-34.9136,-58.7222,65,Ezeiza,,
Transener S.A. Heliport,-32.3694,-66.0631,1968,Lujan,,
Recreo / Transener S.A. Heliport,-29.2628,-65.0582,810,Recreo,,
Transener S.A. Heliport,-38.1472,-65.8228,751,Puelches,,
Transener S.A. Heliport,-33.0989,-68.5819,2220,Barreales,,
Transener S.A. Heliport,-40.1622,-70.3917,2302,Piedra Del Aguila,,
Transener S.A. Heliport,-39.5675,-65.6886,426,Choele Choel,,
Transener S.A. Heliport,-29.4606,-59.7636,190,Romang,,
Transener S.A. Heliport,-26.9936,-65.1636,1239,El Bracho,,
Almafuerte / Transener S.A. Heliport,-32.203,-64.315,1640,Almafuerte,,
Montecristo / Transener S.A. Heliport,-31.3392,-63.9138,1082,Monte Cristo,,
Chevron Texaco Airport,-37.36500168,-69.30027771,2896,El Trapeal,,
Horco Molle Aeroclub Airport,-26.79610062,-65.30919647,1902,Tucumán,,
Unidad Penitenciaria N° 30 Heliport,-36.0444,-60.0167,180,General Alvear,,
Urdinarrain Airport,-32.6964,-58.8992,216,Urdinarrain,,
Veinticinco De Mayo Airport,-35.4464,-60.0886,164,Veinticinco De Mayo,,
Vera Airport,-29.4681,-60.2261,190,Vera,,
Veronica Airport,-35.4,-57.3667,55,Veronica,,
Victoria Airport,-32.5844,-60.1847,75,Victoria,,
Victorica Airport,-36.23749924,-65.45055389,1020,Victorica,SAHV,
Villa Del Rosario Airport,-31.57859993,-63.53779984,830,Villa Del Rosario,,
Villa General Belgrano Airport,-31.96529961,-64.56439972,2755,Villa General Belgrano,,
Villa Ocampo Airport,-28.4969,-59.3256,160,Villa Ocampo,,
Villa Regina Airport,-39.07360077,-67.08000183,934,Villa Regina,,
Villa Rumipal Airport,-32.18500137,-64.48829651,2184,Villa Rumipal,,
Zarate Airport,-34.12,-59.0836,85,Zarate,,
Belingueres Aviación Airport,-34.2778,-60.5044,209,Ines Indart,,
Bocca Airport,-31.8711,-61.9511,344,San Jorge,,
Buena Esperanza Airport,-30.5306,-58.3972,246,Los Conquistadores,,
Buenos Aires Airport,-33.85972214,-59.46888733,85,"Pueblo Alsina, Baradero",,
Burdisso Airport,-32.2406,-61.7583,364,El Trebol,,
Carlos Saqui Airport,-31.63500023,-63.86109924,1066,Rio Segundo,,
Carmen De Patagones Airport,-40.7781,-62.9803,131,Carmen de Patagones,,CPG
Club De Planeadores Airport,-38.0153,-57.6536,147,Mar del Plata,,
Colonia Tirolesa Airport,-31.24472237,-64.03527832,1335,Colonia Tirolesa,,
Comandante Eduardo A. Olivero Airport,-37.3666687,-58.96666718,633,Tandil,,
Concepción Airport,-27.34543419,-65.61797333,1200,Concepción,,
Coronel Brandsen Airport,-35.1828,-58.2839,52,Coronel Brandsen,,
Coronel Moldes Airport,-33.6166687,-64.61250305,1170,Coronel Moldes,,
Di Giuseppe Airport,-32.8908,-61.1239,291,Carcarañá,,
Dinaluca S.A. Airport,-27.3828,-57.6442,219,Berón de Astrada,,
EAA Airport,-34.6803,-59.0358,91,General Rodriguez,,
El Girasol Airport,-33.6661,-59.8339,91,Gobernador Castro,,
El Gringo Airport,-27.3086,-61.2114,301,Charata,,
El Jagüel Airport,-31.7994,-59.0339,200,Villaguay,,
El Malagueño Airport,-31.6994,-59.4006,180,Villaguay,,
El Pilincho Airport,-30.3872,-57.9683,228,Monte Caseros,,
El Toto Airport,-31.65027809,-64.36888885,540,Alta Gracia,,
Establecimiento La Adelita Airport,-31.3925,-61.1431,164,Humboldt,,
Establecimiento La Florencia Airport,-33.0769,-61.3178,246,Los Molinos,,
Estancia Caridad Airport,-43.72138977,-71.24555969,2427,El Corcovado,,
Estancia El Chañar Airport,-31.2887,-62.4189,331,Colonia Marina,,
Estancia La Leonor Airport,-26.1494,-59.6672,285,Presidencia Roca,,
Estancia La Providencia Airport,-32.9411,-58.565,65,Gualeguaychú,,
Estancia La Salvación Airport,-25.2767,-58.9375,321,Pirane,,
Estancia Lucila Airport,-38.3086,-58.105,72,Mar del Sur,,
Estancia San Vicente Airport,-32.9989,-61.7781,229,Tortugas,,
Estancia Santa Romana Airport,-33.75333405,-65.2463913,1548,Mercedes,,
Estancia Villa Corina Airport,-28.035,-56.0678,403,Gobernador Valentin Virasoro,,
Estancia Villa María Airport,-34.6433,-59.1272,104,Luján,,
F.A.T. Airport,-34.1767,-61.5069,285,Teodelina,,
Finca La Frontera Airport,-22.11861038,-63.29055786,160,"Aguaray, San Martín",,
Firmat Airport,-33.4661,-61.4842,344,Firmat,,
Fumigaciones Campanucci Airport,-33.3239,-60.6658,157,Coronel Bogado,,
Fumigaciones Fredy Airport,-34.2361,-60.5819,176,Hunter,,
Fumigaciones González Airport,-32.3589,-60.9797,98,Monje,,
General Belgrano Airport,-24.74583244,-65.41889191,4136,General Belgrano - Salta,,
General San Martin (La Pampa) Airport,-37.94972229,-63.61750031,528,General San Martin,,
Ginevro Airport,-31.86444473,-62.8441658,475,Las Varillas,,
Gualeguay Aeroclub Airport,-33.0994,-59.4172,49,Gualeguay,,
Guatraché Airport,-37.68280029,-63.55080032,574,Guatraché,,
Haras La Pomme Airport,-34.2078,-59.3856,91,San Antonio de Areco,,
Haras Trelliris Airport,-35.3314,-60.5792,196,Bragado,,
